what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282225032234
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225037256
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282225046363
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225047498
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225057188
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225058807
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282225060882
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225065150
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1282225085491
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1282225091929
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225093942
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225112504
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225113677
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225138325
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225279303
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225279948
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225820192
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1282225821756
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225825006
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225829347
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225833279
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225842446
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225843009
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282225843217
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282225845148
