what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244314
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776244329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776246751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250642
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776250689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1283776253720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1283776259173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776302032
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1283776304767
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283776318111
